topology,trial,strategy,ranking_seconds,n,edges
BA,63,degree,0.0010496099999954822,1000,2991
BA,63,eigenvector,0.02601326999996445,1000,2991
BA,63,kcore,0.002738604999990457,1000,2991
BA,63,pagerank,0.007221907999962696,1000,2991
BA,64,betweenness,0.3253272860000038,1000,2991
BA,64,collective_influence,0.022529101999964496,1000,2991
BA,64,community_bridge,0.7679308929999706,1000,2991
BA,64,degree,0.0009105720000093243,1000,2991
BA,64,eigenvector,0.07444900100000496,1000,2991
BA,64,kcore,0.0026777230000334384,1000,2991
BA,64,pagerank,0.004804416000013134,1000,2991
BA,65,betweenness,0.4029363049999688,1000,2991
BA,65,collective_influence,0.06985702499997615,1000,2991
BA,65,community_bridge,0.8284128980000105,1000,2991
BA,65,degree,0.0013297730000090269,1000,2991
BA,65,eigenvector,0.026194832999976825,1000,2991
BA,65,kcore,0.0027003480000189484,1000,2991
BA,65,pagerank,0.005265179999980774,1000,2991
BA,66,betweenness,0.36734617199999775,1000,2991
BA,66,collective_influence,0.06890008400000625,1000,2991
BA,66,community_bridge,0.7997731670000121,1000,2991
BA,66,degree,0.0006483260000322844,1000,2991
BA,66,eigenvector,0.020501999000032356,1000,2991
BA,66,kcore,0.002501488000007157,1000,2991
BA,66,pagerank,0.004385775999992347,1000,2991
BA,67,betweenness,0.3294676950000053,1000,2991
BA,67,collective_influence,0.019751268000050004,1000,2991
BA,67,community_bridge,0.8889493259999881,1000,2991
BA,67,degree,0.052815907999956835,1000,2991
BA,67,eigenvector,0.06792007699999658,1000,2991
BA,67,kcore,0.0025557989999924757,1000,2991
BA,67,pagerank,0.004545264999990195,1000,2991
BA,68,betweenness,0.3053884079999989,1000,2991
BA,68,collective_influence,0.021980826000003617,1000,2991
BA,68,community_bridge,0.8801322659999755,1000,2991
BA,68,degree,0.0006701490000295962,1000,2991
BA,68,eigenvector,0.07401758099996414,1000,2991
BA,68,kcore,0.0026653840000108175,1000,2991
BA,68,pagerank,0.004405044000009184,1000,2991
BA,69,betweenness,0.2998758060000455,1000,2991
BA,69,collective_influence,0.01960326599999007,1000,2991
BA,69,community_bridge,0.880481326999984,1000,2991
BA,69,degree,0.0010456649999923684,1000,2991
BA,69,eigenvector,0.07052559100003464,1000,2991
BA,69,kcore,0.0025237720000177433,1000,2991
BA,69,pagerank,0.005430219000004399,1000,2991
BA,70,betweenness,0.3116197240000247,1000,2991
BA,70,collective_influence,0.021176625000009608,1000,2991
BA,70,community_bridge,0.8286198609999929,1000,2991
BA,70,degree,0.0006695980000017698,1000,2991
BA,70,eigenvector,0.021833804999971562,1000,2991
BA,70,kcore,0.055276144000004024,1000,2991
BA,70,pagerank,0.005538280999985545,1000,2991
BA,71,betweenness,0.2976162730000169,1000,2991
BA,71,collective_influence,0.02003071900003306,1000,2991
BA,71,community_bridge,0.7826959690000308,1000,2991
BA,71,degree,0.0006324930000118911,1000,2991
BA,71,eigenvector,0.07675752799997326,1000,2991
BA,71,kcore,0.002448257000025933,1000,2991
BA,71,pagerank,0.004134426999996776,1000,2991
BA,72,betweenness,0.286943473000008,1000,2991
BA,72,collective_influence,0.019251544999974612,1000,2991
BA,72,community_bridge,0.9966992949999849,1000,2991
BA,72,degree,0.0006632289999970453,1000,2991
BA,72,eigenvector,0.02010516100000359,1000,2991
BA,72,kcore,0.002429640000002564,1000,2991
BA,72,pagerank,0.004136008999978458,1000,2991
BA,73,betweenness,0.30540240499999527,1000,2991
BA,73,collective_influence,0.02043860300000233,1000,2991
BA,73,community_bridge,0.8710497079999868,1000,2991
BA,73,degree,0.0006541550000065399,1000,2991
BA,73,eigenvector,0.0709572030000345,1000,2991
BA,73,kcore,0.0025377520000233744,1000,2991
BA,73,pagerank,0.004238153000017064,1000,2991
BA,74,betweenness,0.3618097359999979,1000,2991
BA,74,collective_influence,0.0807653669999695,1000,2991
BA,74,community_bridge,0.8131031830000097,1000,2991
BA,74,degree,0.0006609760000060305,1000,2991
BA,74,eigenvector,0.029498160000002827,1000,2991
BA,74,kcore,0.003442925000001651,1000,2991
BA,74,pagerank,0.005985595000026933,1000,2991
BA,75,betweenness,0.2868175599999745,1000,2991
BA,75,collective_influence,0.021032799000010982,1000,2991
BA,75,community_bridge,0.7912426780000033,1000,2991
BA,75,degree,0.0006464540000479246,1000,2991
BA,75,eigenvector,0.07244618699996863,1000,2991
BA,75,kcore,0.0026014880000388985,1000,2991
BA,75,pagerank,0.004625527000030161,1000,2991
BA,76,betweenness,0.2959695840000336,1000,2991
BA,76,collective_influence,0.06887626000002456,1000,2991
BA,76,community_bridge,0.9258954750000044,1000,2991
BA,76,degree,0.0006366490000004887,1000,2991
BA,76,eigenvector,0.026301465000017288,1000,2991
BA,76,kcore,0.00283391800002164,1000,2991
BA,76,pagerank,0.004096940000010818,1000,2991
BA,77,betweenness,0.2945471310000016,1000,2991
BA,77,collective_influence,0.07054316099998914,1000,2991
BA,77,community_bridge,0.7158527680000475,1000,2991
