topology,trial,graph_seed,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction
BA,84,372323542,1000,2991,5.982,0.005987987987987988,0.026457182618974076,0.0164269433309754,-0.0779148035245525,1,1.0
BA,85,389101161,1000,2991,5.982,0.005987987987987988,0.024150586480611413,0.015945001299864238,-0.08325483512277278,1,1.0
BA,86,338768304,1000,2991,5.982,0.005987987987987988,0.036280556609091935,0.01958933207458107,-0.09092965992470227,1,1.0
BA,87,355545923,1000,2991,5.982,0.005987987987987988,0.030227462475769996,0.01665019387212043,-0.07596643881210678,1,1.0
BA,88,573654970,1000,2991,5.982,0.005987987987987988,0.03468274798572091,0.019318607263197306,-0.07001943611463736,1,1.0
BA,89,590432589,1000,2991,5.982,0.005987987987987988,0.030842872165500735,0.017359093550261474,-0.07416698124940896,1,1.0
BA,90,540246827,1000,2991,5.982,0.005987987987987988,0.03446517851925434,0.018450961133716852,-0.08574079496991126,1,1.0
BA,91,523469208,1000,2991,5.982,0.005987987987987988,0.027890596325415563,0.0166488090332152,-0.06301908124493234,1,1.0
BA,92,573802065,1000,2991,5.982,0.005987987987987988,0.0313194485775772,0.019403181280399633,-0.06811086754318271,1,1.0
BA,93,557024446,1000,2991,5.982,0.005987987987987988,0.028305271291697298,0.016787413494809687,-0.08108347966983537,1,1.0
BA,94,607357303,1000,2991,5.982,0.005987987987987988,0.025929824792054888,0.01650894877597202,-0.0722338578948766,1,1.0
BA,95,590579684,1000,2991,5.982,0.005987987987987988,0.031902781259332484,0.017708306943987027,-0.087463269183612,1,1.0
BA,96,640912541,1000,2991,5.982,0.005987987987987988,0.027884034346878972,0.017376753764963317,-0.0714838286298791,1,1.0
BA,97,624134922,1000,2991,5.982,0.005987987987987988,0.032051855555275996,0.0190755873340143,-0.07361486620878513,1,1.0
BA,98,406025875,1000,2991,5.982,0.005987987987987988,0.03270530351272282,0.018967714017837825,-0.06281751852963108,1,1.0
BA,99,389248256,1000,2991,5.982,0.005987987987987988,0.031387429365610106,0.01750909387045985,-0.07651138377981048,1,1.0
ER,0,3370814916,1000,3069,6.138,0.006144144144144144,0.00565961815961816,0.004926369318783769,-0.017166903615997382,2,0.999
ER,1,3387592535,1000,2943,5.886,0.005891891891891892,0.0058250638250638255,0.005581395348837209,-0.03209247201294882,4,0.997
ER,2,3404370154,1000,2988,5.976,0.005981981981981982,0.0048045676545676545,0.005371530886302597,0.03620625518045938,3,0.998
ER,3,3421147773,1000,3029,6.058,0.006064064064064064,0.004449062049062049,0.004651420344426602,0.011145484029739264,3,0.998
ER,4,3303704440,1000,2979,5.958,0.005963963963963964,0.005541602841602842,0.0061503416856492025,-0.007568609166835586,3,0.998
ER,5,3320482059,1000,2979,5.958,0.005963963963963964,0.005371672771672771,0.005755558063423993,-0.01124988023635563,4,0.997
ER,6,3337259678,1000,3050,6.1,0.006106106106106106,0.005444394494394494,0.005250318201103097,-0.016899292724776846,4,0.997
ER,7,3354037297,1000,2966,5.932,0.005937937937937938,0.004969658119658119,0.005796113194681214,-0.036376706697378684,3,0.998
ER,8,3236593964,1000,2957,5.914,0.00591991991991992,0.005264234948058477,0.005663291573708598,-0.0023838814257083722,5,0.996
ER,9,3253371583,1000,2996,5.992,0.005997997997997998,0.005406332556332556,0.006177305359229785,-0.012727975813555217,4,0.997
