topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,4,0.02,0.05,0.05,collective_influence,40.0,141.0,1.0,1.0,97.0,0.576,11721.0,0.906,27038.0,26132.0,571.0,481.0,0.05
ER,4,0.02,0.05,0.05,community_bridge,56.0,186.0,1.0,1.0,105.0,0.534,11012.0,0.888,26948.0,26060.0,529.0,313.0,0.05
ER,4,0.05,0.05,0.05,random,18.0,31.0,1.0,1.0,418.0,0.896,18570.0,0.942,17432.0,16490.0,891.0,179.0,0.05
ER,4,0.05,0.05,0.05,degree,21.0,40.0,1.0,1.0,349.0,0.854,16535.0,0.936,17591.0,16655.0,849.0,163.0,0.05
ER,4,0.05,0.05,0.05,betweenness,17.0,35.0,1.0,1.0,377.0,0.858,17573.0,0.938,17495.0,16557.0,853.0,178.0,0.05
ER,4,0.05,0.05,0.05,kcore,20.0,39.0,1.0,1.0,331.0,0.838,15817.0,0.937,18140.0,17203.0,833.0,160.0,0.05
ER,4,0.05,0.05,0.05,collective_influence,21.0,39.0,1.0,1.0,394.0,0.873,17481.0,0.94,17421.0,16481.0,868.0,185.0,0.05
ER,4,0.05,0.05,0.05,community_bridge,15.0,33.0,1.0,1.0,360.0,0.863,16944.0,0.938,17318.0,16380.0,858.0,198.0,0.05
ER,4,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,685.0,0.935,19374.0,0.942,6550.0,5608.0,930.0,139.0,0.05
ER,4,0.15,0.05,0.05,degree,9.0,14.0,1.0,1.0,643.0,0.936,18969.0,0.942,6719.0,5777.0,931.0,155.0,0.05
ER,4,0.15,0.05,0.05,betweenness,8.0,13.0,1.0,1.0,637.0,0.936,18130.0,0.942,6689.0,5747.0,931.0,162.0,0.05
ER,4,0.15,0.05,0.05,kcore,7.0,13.0,1.0,1.0,613.0,0.94,18660.0,0.941,6776.0,5835.0,935.0,154.0,0.05
ER,4,0.15,0.05,0.05,collective_influence,8.0,13.0,1.0,1.0,650.0,0.937,19046.0,0.943,6615.0,5672.0,932.0,188.0,0.05
ER,4,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,637.0,0.939,18512.0,0.941,6960.0,6019.0,934.0,196.0,0.05
ER,7,0.01,0.05,0.05,random,,,0.0,0.0,9.0,0.027,525.0,0.141,2591.0,2450.0,22.0,104.0,0.05
ER,7,0.01,0.05,0.05,degree,169.0,,1.0,0.0,19.0,0.125,2595.0,0.447,9681.0,9234.0,120.0,317.0,0.05
ER,7,0.01,0.05,0.05,betweenness,,,0.0,0.0,19.0,0.088,2064.0,0.378,8597.0,8219.0,83.0,193.0,0.05
ER,7,0.01,0.05,0.05,kcore,,,0.0,0.0,10.0,0.033,830.0,0.146,3391.0,3245.0,28.0,235.0,0.05
ER,7,0.01,0.05,0.05,collective_influence,,,0.0,0.0,10.0,0.012,143.0,0.052,577.0,525.0,7.0,49.0,0.05
ER,7,0.01,0.05,0.05,community_bridge,,,0.0,0.0,9.0,0.046,1087.0,0.222,5211.0,4989.0,41.0,260.0,0.05
ER,7,0.02,0.05,0.05,random,56.0,109.0,1.0,1.0,155.0,0.681,14107.0,0.927,34287.0,33360.0,676.0,244.0,0.05
ER,7,0.02,0.05,0.05,degree,81.0,181.0,1.0,1.0,105.0,0.538,10779.0,0.9,26149.0,25249.0,533.0,325.0,0.05
ER,7,0.02,0.05,0.05,betweenness,47.0,135.0,1.0,1.0,105.0,0.595,11360.0,0.907,27390.0,26483.0,590.0,287.0,0.05
ER,7,0.02,0.05,0.05,kcore,93.0,233.0,1.0,1.0,72.0,0.571,11822.0,0.909,28178.0,27269.0,566.0,449.0,0.05
ER,7,0.02,0.05,0.05,collective_influence,74.0,226.0,1.0,1.0,81.0,0.52,9796.0,0.896,25664.0,24768.0,515.0,303.0,0.05
ER,7,0.02,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.008,82.0,0.044,406.0,362.0,3.0,37.0,0.05
ER,7,0.05,0.05,0.05,random,15.0,29.0,1.0,1.0,391.0,0.893,16912.0,0.936,18315.0,17379.0,888.0,181.0,0.05
ER,7,0.05,0.05,0.05,degree,24.0,41.0,1.0,1.0,361.0,0.879,17367.0,0.933,17878.0,16945.0,874.0,172.0,0.05
ER,7,0.05,0.05,0.05,betweenness,20.0,36.0,1.0,1.0,395.0,0.879,18069.0,0.938,17765.0,16827.0,874.0,195.0,0.05
ER,7,0.05,0.05,0.05,kcore,27.0,46.0,1.0,1.0,372.0,0.876,18494.0,0.934,18329.0,17395.0,871.0,180.0,0.05
ER,7,0.05,0.05,0.05,collective_influence,19.0,35.0,1.0,1.0,399.0,0.888,18055.0,0.936,17356.0,16420.0,883.0,162.0,0.05
ER,7,0.05,0.05,0.05,community_bridge,18.0,33.0,1.0,1.0,394.0,0.876,17464.0,0.934,17298.0,16364.0,871.0,152.0,0.05
ER,7,0.15,0.05,0.05,random,6.0,11.0,1.0,1.0,679.0,0.934,18752.0,0.938,7093.0,6155.0,929.0,146.0,0.05
ER,7,0.15,0.05,0.05,degree,7.0,12.0,1.0,1.0,657.0,0.934,19327.0,0.937,6835.0,5898.0,929.0,144.0,0.05
ER,7,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,659.0,0.93,18397.0,0.939,7042.0,6103.0,925.0,139.0,0.05
ER,7,0.15,0.05,0.05,kcore,8.0,14.0,1.0,1.0,620.0,0.928,18664.0,0.937,6984.0,6047.0,923.0,158.0,0.05
ER,7,0.15,0.05,0.05,collective_influence,6.0,10.0,1.0,1.0,666.0,0.932,18417.0,0.938,6522.0,5584.0,927.0,117.0,0.05
ER,7,0.15,0.05,0.05,community_bridge,8.0,12.0,1.0,1.0,669.0,0.927,18646.0,0.937,6448.0,5511.0,922.0,203.0,0.05
ER,6,0.01,0.05,0.05,random,,,0.0,0.0,15.0,0.093,1941.0,0.426,8163.0,7737.0,88.0,348.0,0.05
