topology,trial,family,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,13,beta_gamma,0.05,0.05,5,18.0,31.0,1.0,1.0,465.0,0.942,19720.0,0.992,20172.0,19180.0,937.0,161.0,0.0
ER,13,beta_gamma,0.05,0.1,5,18.0,35.0,1.0,1.0,227.0,0.769,7497.0,0.982,16215.0,15233.0,764.0,117.0,0.0
ER,13,beta_gamma,0.15,0.05,5,6.0,9.0,1.0,1.0,714.0,0.994,20018.0,0.994,7421.0,6427.0,989.0,147.0,0.0
ER,13,beta_gamma,0.15,0.1,5,8.0,12.0,1.0,1.0,562.0,0.981,9611.0,0.994,7298.0,6304.0,976.0,77.0,0.0
ER,13,seed_count,0.15,0.05,1,7.0,11.0,1.0,1.0,715.0,0.989,18944.0,0.997,6984.0,5987.0,988.0,133.0,0.0
ER,13,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,700.0,0.994,19354.0,0.994,7319.0,6325.0,989.0,148.0,0.0
ER,13,seed_count,0.15,0.05,10,4.0,7.0,1.0,1.0,713.0,0.991,19010.0,0.989,7130.0,6141.0,981.0,122.0,0.0
ER,8,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,50.0,0.035,262.0,227.0,1.0,23.0,0.0
ER,8,beta_gamma,0.005,0.1,5,,,0.0,0.0,6.0,0.008,50.0,0.048,322.0,274.0,3.0,18.0,0.0
ER,8,beta_gamma,0.01,0.05,5,,,0.0,0.0,6.0,0.011,157.0,0.052,791.0,739.0,6.0,64.0,0.0
ER,8,beta_gamma,0.01,0.1,5,,,0.0,0.0,7.0,0.012,162.0,0.065,867.0,802.0,7.0,40.0,0.0
ER,8,beta_gamma,0.02,0.05,5,38.0,110.0,1.0,1.0,131.0,0.685,13982.0,0.982,34140.0,33158.0,680.0,285.0,0.0
ER,8,beta_gamma,0.02,0.1,5,91.0,,1.0,0.0,26.0,0.242,2480.0,0.754,10214.0,9460.0,237.0,210.0,0.0
ER,8,beta_gamma,0.05,0.05,5,17.0,30.0,1.0,1.0,464.0,0.931,19111.0,0.992,19142.0,18150.0,926.0,221.0,0.0
ER,8,beta_gamma,0.05,0.1,5,15.0,32.0,1.0,1.0,237.0,0.804,8138.0,0.985,16241.0,15256.0,799.0,103.0,0.0
ER,8,beta_gamma,0.15,0.05,5,5.0,9.0,1.0,1.0,727.0,0.992,18508.0,0.993,7232.0,6239.0,987.0,109.0,0.0
ER,8,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,567.0,0.979,9597.0,0.993,6870.0,5877.0,974.0,77.0,0.0
ER,8,seed_count,0.15,0.05,1,7.0,11.0,1.0,1.0,717.0,0.988,20695.0,0.997,7621.0,6624.0,987.0,164.0,0.0
ER,8,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,743.0,0.993,19329.0,0.993,7481.0,6488.0,988.0,184.0,0.0
ER,8,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,731.0,0.992,19284.0,0.988,6936.0,5948.0,982.0,132.0,0.0
ER,12,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.01,216.0,0.072,1327.0,1255.0,5.0,66.0,0.0
ER,12,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,85.0,0.029,397.0,368.0,1.0,41.0,0.0
ER,12,beta_gamma,0.01,0.05,5,,,0.0,0.0,9.0,0.047,905.0,0.241,4147.0,3906.0,42.0,161.0,0.0
ER,12,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.009,86.0,0.046,430.0,384.0,4.0,36.0,0.0
ER,12,beta_gamma,0.02,0.05,5,41.0,86.0,1.0,1.0,199.0,0.742,15184.0,0.983,36273.0,35290.0,737.0,250.0,0.0
ER,12,beta_gamma,0.02,0.1,5,,,0.0,0.0,13.0,0.089,841.0,0.416,4045.0,3629.0,84.0,115.0,0.0
ER,12,beta_gamma,0.05,0.05,5,21.0,33.0,1.0,1.0,448.0,0.946,19001.0,0.991,19667.0,18676.0,941.0,237.0,0.0
ER,12,beta_gamma,0.05,0.1,5,24.0,40.0,1.0,1.0,253.0,0.83,8366.0,0.988,16164.0,15176.0,825.0,113.0,0.0
ER,12,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,695.0,0.988,18944.0,0.991,7414.0,6423.0,983.0,132.0,0.0
ER,12,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,598.0,0.978,9726.0,0.99,6963.0,5973.0,973.0,73.0,0.0
ER,12,seed_count,0.15,0.05,1,10.0,14.0,1.0,1.0,721.0,0.986,20166.0,0.995,7229.0,6234.0,985.0,177.0,0.0
