family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,5,ER,12,0.02,0.05,5,38.0,81.0,1.0,1.0,202.0,0.731,14367.0,0.986,34894.0,33908.0,726.0,284.0,0.0
seed_count,10,ER,12,0.15,0.05,10,4.0,8.0,1.0,1.0,735.0,0.989,19427.0,0.99,7595.0,6605.0,979.0,135.0,0.0
seed_count,10,ER,12,0.02,0.05,10,28.0,81.0,1.0,1.0,159.0,0.762,15120.0,0.982,36939.0,35957.0,752.0,265.0,0.0
seed_count,1,ER,14,0.15,0.05,1,9.0,13.0,1.0,1.0,726.0,0.991,20818.0,0.996,7607.0,6611.0,990.0,150.0,0.0
seed_count,1,ER,14,0.02,0.05,1,,,0.0,0.0,3.0,0.005,64.0,0.023,297.0,274.0,4.0,39.0,0.0
seed_count,5,ER,14,0.15,0.05,5,6.0,10.0,1.0,1.0,722.0,0.994,19807.0,0.992,7183.0,6191.0,989.0,159.0,0.0
seed_count,5,ER,14,0.02,0.05,5,33.0,76.0,1.0,1.0,181.0,0.753,15652.0,0.986,36452.0,35466.0,748.0,252.0,0.0
seed_count,10,ER,14,0.15,0.05,10,4.0,7.0,1.0,1.0,749.0,0.988,19416.0,0.987,7217.0,6230.0,978.0,147.0,0.0
seed_count,10,ER,14,0.02,0.05,10,30.0,76.0,1.0,1.0,179.0,0.705,13900.0,0.974,33600.0,32626.0,695.0,328.0,0.0
seed_count,1,ER,13,0.15,0.05,1,9.0,13.0,1.0,1.0,722.0,0.982,19023.0,0.995,7529.0,6534.0,981.0,205.0,0.0
seed_count,1,ER,13,0.02,0.05,1,57.0,130.0,1.0,1.0,116.0,0.659,12910.0,0.979,33487.0,32508.0,658.0,320.0,0.0
seed_count,5,ER,13,0.15,0.05,5,6.0,10.0,1.0,1.0,745.0,0.989,19537.0,0.991,7315.0,6324.0,984.0,167.0,0.0
seed_count,5,ER,13,0.02,0.05,5,57.0,109.0,1.0,1.0,170.0,0.755,15505.0,0.987,35380.0,34393.0,750.0,369.0,0.0
seed_count,10,ER,13,0.15,0.05,10,5.0,8.0,1.0,1.0,750.0,0.987,20204.0,0.985,7108.0,6123.0,977.0,175.0,0.0
seed_count,10,ER,13,0.02,0.05,10,26.0,69.0,1.0,1.0,189.0,0.748,14532.0,0.982,35981.0,34999.0,738.0,200.0,0.0
seed_count,1,ER,15,0.15,0.05,1,9.0,13.0,1.0,1.0,697.0,0.989,18757.0,0.995,7283.0,6288.0,988.0,156.0,0.0
seed_count,1,ER,15,0.02,0.05,1,,,0.0,0.0,1.0,0.001,11.0,0.006,66.0,60.0,0.0,11.0,0.0
seed_count,5,ER,15,0.15,0.05,5,5.0,10.0,1.0,1.0,696.0,0.988,19035.0,0.992,7589.0,6597.0,983.0,124.0,0.0
seed_count,5,ER,15,0.02,0.05,5,59.0,110.0,1.0,1.0,168.0,0.712,14404.0,0.983,35884.0,34901.0,707.0,314.0,0.0
seed_count,10,ER,15,0.15,0.05,10,4.0,8.0,1.0,1.0,740.0,0.988,20317.0,0.986,7750.0,6764.0,978.0,131.0,0.0
seed_count,10,ER,15,0.02,0.05,10,58.0,115.0,1.0,1.0,163.0,0.681,12867.0,0.98,34043.0,33063.0,671.0,242.0,0.0
seed_count,1,ER,16,0.15,0.05,1,9.0,14.0,1.0,1.0,713.0,0.987,19287.0,0.993,7738.0,6745.0,986.0,157.0,0.0
seed_count,1,ER,16,0.02,0.05,1,,,0.0,0.0,1.0,0.001,12.0,0.003,36.0,33.0,0.0,12.0,0.0
seed_count,5,ER,16,0.15,0.05,5,5.0,9.0,1.0,1.0,709.0,0.986,19102.0,0.99,7331.0,6341.0,981.0,143.0,0.0
seed_count,5,ER,16,0.02,0.05,5,70.0,118.0,1.0,1.0,177.0,0.756,15877.0,0.981,37783.0,36802.0,751.0,293.0,0.0
