family,value,topology,trial,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
n,1000.0,ER,2,1000,3045,6.09,0.006096096096096096,0.0055302744640979935,0.006010070929665927,0.026464051359966385,2,0.999,6.0,10.0,1.0,1.0,727.0,0.991,20503.0,0.993,7482.0,6489.0,986.0,176.0,0.0
n,1000.0,ER,0,1000,2983,5.966,0.005971971971971972,0.004252998145645204,0.005408755422840724,0.02514689226797603,5,0.996,6.0,10.0,1.0,1.0,715.0,0.99,19629.0,0.991,7537.0,6546.0,985.0,142.0,0.0
n,1000.0,ER,1,1000,2990,5.98,0.005985985985985986,0.004479329004329005,0.004649618067087346,0.01383817993092967,6,0.995,7.0,11.0,1.0,1.0,739.0,0.988,19757.0,0.99,7135.0,6145.0,983.0,134.0,0.0
n,1000.0,ER,3,1000,2869,5.738,0.005743743743743744,0.003747935397935398,0.004012401969724603,-0.008569782711193335,5,0.996,6.0,10.0,1.0,1.0,751.0,0.985,19175.0,0.991,7020.0,6029.0,980.0,148.0,0.0
n,1000.0,ER,4,1000,3016,6.032,0.006038038038038038,0.005744022644022644,0.006290696391126807,0.021934317624602843,6,0.995,6.0,10.0,1.0,1.0,708.0,0.991,20119.0,0.99,7460.0,6470.0,986.0,169.0,0.0
n,1000.0,ER,5,1000,2976,5.952,0.005957957957957958,0.006351087801087801,0.00602167804094741,-0.012863977575289277,3,0.998,7.0,11.0,1.0,1.0,712.0,0.993,20247.0,0.993,7639.0,6646.0,988.0,133.0,0.0
n,1000.0,ER,7,1000,3034,6.068,0.006074074074074074,0.005976312576312577,0.005995462892945879,-0.023000808027627342,5,0.996,5.0,9.0,1.0,1.0,746.0,0.992,20069.0,0.991,7390.0,6399.0,987.0,164.0,0.0
n,1000.0,ER,6,1000,3100,6.2,0.006206206206206206,0.0065962259962259965,0.006700254505791306,-0.022978306509515753,3,0.998,5.0,9.0,1.0,1.0,761.0,0.99,20693.0,0.993,7461.0,6468.0,985.0,141.0,0.0
n,1000.0,ER,8,1000,3073,6.146,0.006152152152152152,0.005551537351537352,0.006072227548737616,-0.013985633187970522,2,0.999,6.0,10.0,1.0,1.0,732.0,0.993,19665.0,0.994,7338.0,6344.0,988.0,195.0,0.0
n,1000.0,ER,9,1000,3020,6.04,0.006046046046046046,0.005741197691197691,0.006184895833333333,0.0001439455297429781,4,0.997,5.0,9.0,1.0,1.0,698.0,0.989,19158.0,0.992,7549.0,6557.0,984.0,136.0,0.0
n,1000.0,ER,10,1000,2976,5.952,0.005957957957957958,0.007596275946275946,0.00701894544624515,-0.047435000596593335,4,0.997,6.0,9.0,1.0,1.0,748.0,0.993,20880.0,0.992,7305.0,6313.0,988.0,134.0,0.0
n,1000.0,ER,11,1000,3008,6.016,0.006022022022022022,0.0061437229437229434,0.0055055055055055055,0.002376354033935214,3,0.998,6.0,10.0,1.0,1.0,751.0,0.99,20111.0,0.992,7422.0,6430.0,985.0,143.0,0.0
n,1000.0,ER,12,1000,2965,5.93,0.005935935935935936,0.004099711399711399,0.0049842452019478655,0.016959649345655078,2,0.999,7.0,11.0,1.0,1.0,713.0,0.996,18776.0,0.994,7140.0,6146.0,991.0,199.0,0.0
n,1000.0,ER,13,1000,3033,6.066,0.006072072072072072,0.0036405261405261405,0.003716470968436928,-0.007393847346473843,3,0.998,6.0,9.0,1.0,1.0,728.0,0.984,20026.0,0.993,7521.0,6528.0,979.0,241.0,0.0
n,1000.0,ER,14,1000,3027,6.054,0.00606006006006006,0.004337057387057387,0.0039411024139252284,0.02383656414402488,3,0.998,5.0,9.0,1.0,1.0,710.0,0.988,19624.0,0.992,7789.0,6797.0,983.0,134.0,0.0
n,1000.0,ER,15,1000,2939,5.878,0.005883883883883884,0.006396936396936397,0.006752467247648179,-0.019745276889073796,3,0.998,6.0,10.0,1.0,1.0,715.0,0.995,20240.0,0.993,7135.0,6142.0,990.0,181.0,0.0
n,1000.0,ER,16,1000,3046,6.092,0.006098098098098098,0.005199661449661449,0.00535077288941736,-0.0097086851263779,2,0.999,5.0,9.0,1.0,1.0,736.0,0.995,19578.0,0.994,7204.0,6210.0,990.0,128.0,0.0
n,1000.0,ER,17,1000,2976,5.952,0.005957957957957958,0.00563054723054723,0.005908170155300473,-0.005614579679805722,4,0.997,6.0,10.0,1.0,1.0,740.0,0.991,19895.0,0.993,7316.0,6323.0,986.0,138.0,0.0
n,1000.0,ER,18,1000,2907,5.814,0.00581981981981982,0.00437994227994228,0.0048025613660619,0.010035198639972974,6,0.995,7.0,11.0,1.0,1.0,736.0,0.99,20161.0,0.99,7365.0,6375.0,985.0,185.0,0.0
n,1000.0,ER,19,1000,2957,5.914,0.00591991991991992,0.005759357309357309,0.0060834788486453,-0.006458093938960508,1,1.0,6.0,10.0,1.0,1.0,733.0,0.994,20130.0,0.995,7596.0,6601.0,989.0,208.0,0.0
n,1000.0,WS,0,1000,3000,6.0,0.006006006006006006,0.4460809523809524,0.43168006273279746,-0.0030931927125931995,1,1.0,8.0,16.0,1.0,1.0,611.0,1.0,18501.0,0.995,7256.0,6261.0,995.0,123.0,0.0
n,1000.0,WS,1,1000,3000,6.0,0.006006006006006006,0.4399222222222222,0.4251829587036069,-0.01264093073048564,1,1.0,7.0,15.0,1.0,1.0,624.0,1.0,19519.0,0.995,7482.0,6487.0,995.0,151.0,0.0
n,1000.0,WS,2,1000,3000,6.0,0.006006006006006006,0.4405571428571428,0.42649751504054406,-0.005882512320453293,1,1.0,9.0,17.0,1.0,1.0,616.0,1.0,19462.0,0.995,7483.0,6488.0,995.0,149.0,0.0
n,1000.0,WS,3,1000,3000,6.0,0.006006006006006006,0.45796031746031746,0.44410994764397904,0.011204370892395328,1,1.0,10.0,18.0,1.0,1.0,614.0,1.0,19817.0,0.995,7569.0,6574.0,995.0,206.0,0.0
n,1000.0,WS,4,1000,3000,6.0,0.006006006006006006,0.4338444444444444,0.4175651832973927,-0.014540162041983792,1,1.0,8.0,15.0,1.0,1.0,650.0,1.0,20118.0,0.995,7257.0,6262.0,995.0,134.0,0.0
n,1000.0,WS,6,1000,3000,6.0,0.006006006006006006,0.4392214285714286,0.42526329561064957,0.005439401052238112,1,1.0,10.0,18.0,1.0,1.0,594.0,1.0,19894.0,0.995,7577.0,6582.0,995.0,203.0,0.0
n,1000.0,WS,7,1000,3000,6.0,0.006006006006006006,0.4325373015873016,0.42032967032967034,-0.020642666919003537,1,1.0,7.0,15.0,1.0,1.0,640.0,1.0,19424.0,0.995,7086.0,6091.0,995.0,143.0,0.0
n,1000.0,WS,9,1000,3000,6.0,0.006006006006006006,0.4504722222222222,0.4381558237145855,-0.010414072703250218,1,1.0,11.0,19.0,1.0,1.0,639.0,1.0,19883.0,0.995,7560.0,6565.0,995.0,175.0,0.0
n,1000.0,WS,5,1000,3000,6.0,0.006006006006006006,0.4563611111111111,0.4441532918440878,-0.0008837479278952074,1,1.0,8.0,17.0,1.0,1.0,602.0,1.0,20136.0,0.995,7511.0,6516.0,995.0,157.0,0.0
n,1000.0,WS,10,1000,3000,6.0,0.006006006006006006,0.45274682539682537,0.4409221902017291,-0.038494847075806825,1,1.0,7.0,15.0,1.0,1.0,619.0,1.0,19050.0,0.995,7373.0,6378.0,995.0,164.0,0.0
n,1000.0,WS,8,1000,3000,6.0,0.006006006006006006,0.4269928571428571,0.4136850352572473,-0.00969738578218357,1,1.0,8.0,16.0,1.0,1.0,614.0,1.0,18630.0,0.995,7376.0,6381.0,995.0,148.0,0.0
n,1000.0,WS,11,1000,3000,6.0,0.006006006006006006,0.45020952380952384,0.43591756624141315,-0.020279101142542333,1,1.0,9.0,17.0,1.0,1.0,627.0,1.0,19339.0,0.995,7492.0,6497.0,995.0,145.0,0.0
n,1000.0,WS,12,1000,3000,6.0,0.006006006006006006,0.43237539682539683,0.4198233562315996,-0.011039252282355147,1,1.0,9.0,17.0,1.0,1.0,672.0,1.0,20525.0,0.995,7315.0,6320.0,995.0,163.0,0.0
n,1000.0,WS,14,1000,3000,6.0,0.006006006006006006,0.4535126984126984,0.4432556613062028,0.004646627230036779,1,1.0,7.0,15.0,1.0,1.0,636.0,1.0,20913.0,0.995,7169.0,6174.0,995.0,212.0,0.0
n,1000.0,WS,15,1000,3000,6.0,0.006006006006006006,0.4552761904761905,0.43897650677311695,0.0003891192413118061,1,1.0,8.0,15.0,1.0,1.0,650.0,1.0,19553.0,0.995,7353.0,6358.0,995.0,154.0,0.0
n,1000.0,WS,16,1000,3000,6.0,0.006006006006006006,0.4483539682539682,0.4312328408942345,-0.044398695897107474,1,1.0,8.0,15.0,1.0,1.0,656.0,1.0,19169.0,0.995,7434.0,6439.0,995.0,170.0,0.0
n,1000.0,WS,13,1000,3000,6.0,0.006006006006006006,0.4484531746031746,0.4355092410538734,0.0018357344112697512,1,1.0,7.0,15.0,1.0,1.0,632.0,1.0,19804.0,0.995,7599.0,6604.0,995.0,131.0,0.0
n,1000.0,WS,18,1000,3000,6.0,0.006006006006006006,0.43769920634920634,0.4221322184478704,0.019857145285685166,1,1.0,8.0,15.0,1.0,1.0,586.0,1.0,20108.0,0.995,7648.0,6653.0,995.0,221.0,0.0
n,1000.0,WS,17,1000,3000,6.0,0.006006006006006006,0.44946507936507935,0.4346518470088264,-0.015197211056303731,1,1.0,7.0,16.0,1.0,1.0,595.0,1.0,19489.0,0.995,7541.0,6546.0,995.0,155.0,0.0
n,1000.0,WS,19,1000,3000,6.0,0.006006006006006006,0.44733253968253966,0.43583868010999083,-0.016600585922299453,1,1.0,7.0,14.0,1.0,1.0,651.0,1.0,19917.0,0.995,7404.0,6409.0,995.0,125.0,0.0
n,1000.0,BA,0,1000,2991,5.982,0.005987987987987988,0.028450695733169672,0.017988487368084425,-0.07697240632633903,1,1.0,5.0,8.0,1.0,1.0,727.0,0.994,19637.0,0.995,7558.0,6563.0,989.0,144.0,0.0
n,1000.0,BA,3,1000,2991,5.982,0.005987987987987988,0.03983909041884655,0.018214658774373258,-0.083323126995716,1,1.0,4.0,7.0,1.0,1.0,724.0,0.999,19716.0,0.995,7564.0,6569.0,994.0,164.0,0.0
n,1000.0,BA,1,1000,2991,5.982,0.005987987987987988,0.026298935776624933,0.017298662785908456,-0.05372599627371319,1,1.0,4.0,8.0,1.0,1.0,720.0,0.995,20403.0,0.995,7487.0,6492.0,990.0,176.0,0.0
n,1000.0,BA,4,1000,2991,5.982,0.005987987987987988,0.028727141072738084,0.01605419939895608,-0.07771467777249658,1,1.0,5.0,8.0,1.0,1.0,733.0,0.993,18528.0,0.995,7225.0,6230.0,988.0,162.0,0.0
n,1000.0,BA,6,1000,2991,5.982,0.005987987987987988,0.029932208972392283,0.016943978018623112,-0.07774955589079782,1,1.0,5.0,8.0,1.0,1.0,735.0,0.992,20043.0,0.995,7522.0,6527.0,987.0,153.0,0.0
n,1000.0,BA,2,1000,2991,5.982,0.005987987987987988,0.032678911593379587,0.017994615784253532,-0.06464171468275957,1,1.0,4.0,7.0,1.0,1.0,748.0,0.998,21540.0,0.995,7518.0,6523.0,993.0,187.0,0.0
n,1000.0,BA,5,1000,2991,5.982,0.005987987987987988,0.028510513170288847,0.017031756318859365,-0.06750274303038126,1,1.0,8.0,11.0,1.0,1.0,736.0,1.0,21065.0,0.995,7562.0,6567.0,995.0,147.0,0.0
n,1000.0,BA,7,1000,2991,5.982,0.005987987987987988,0.027923481450721325,0.01683686040463219,-0.08102719265371248,1,1.0,4.0,8.0,1.0,1.0,729.0,0.992,19596.0,0.995,7514.0,6519.0,987.0,186.0,0.0
n,1000.0,BA,8,1000,2991,5.982,0.005987987987987988,0.030356351243495457,0.01708138492476922,-0.08752085524956758,1,1.0,4.0,7.0,1.0,1.0,738.0,0.992,19819.0,0.995,7159.0,6164.0,987.0,180.0,0.0
