topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,5,community_bridge,0.05,10.0,17.0,1.0,1.0,516.0,0.873,16838.0,0.927,6122.0,5195.0,868.0,179.0,0.05
BA,5,community_bridge,0.1,15.0,30.0,1.0,1.0,347.0,0.741,14574.0,0.817,5086.0,4269.0,736.0,193.0,0.1
BA,5,degree,0.01,6.0,10.0,1.0,1.0,685.0,0.974,18991.0,0.985,7094.0,6109.0,969.0,148.0,0.01
BA,5,degree,0.05,9.0,17.0,1.0,1.0,536.0,0.892,18803.0,0.926,6382.0,5456.0,887.0,161.0,0.05
BA,5,degree,0.1,10.0,23.0,1.0,1.0,414.0,0.765,15629.0,0.826,5101.0,4275.0,760.0,164.0,0.1
BA,5,eigenvector,0.01,7.0,11.0,1.0,1.0,700.0,0.974,19830.0,0.985,6808.0,5823.0,969.0,140.0,0.01
BA,5,eigenvector,0.05,9.0,16.0,1.0,1.0,550.0,0.901,19580.0,0.934,6538.0,5604.0,896.0,150.0,0.05
BA,5,eigenvector,0.1,9.0,17.0,1.0,1.0,471.0,0.823,16682.0,0.872,5775.0,4903.0,818.0,158.0,0.1
BA,5,kcore,0.01,6.0,10.0,1.0,1.0,687.0,0.983,19983.0,0.985,7096.0,6111.0,978.0,176.0,0.01
BA,5,kcore,0.05,8.0,15.0,1.0,1.0,516.0,0.89,18377.0,0.932,6261.0,5329.0,885.0,226.0,0.05
BA,5,kcore,0.1,15.0,28.0,1.0,1.0,366.0,0.768,16374.0,0.823,5008.0,4185.0,763.0,208.0,0.1
BA,5,pagerank,0.01,7.0,11.0,1.0,1.0,669.0,0.981,19804.0,0.985,6988.0,6003.0,976.0,141.0,0.01
BA,5,pagerank,0.05,7.0,15.0,1.0,1.0,524.0,0.898,17872.0,0.93,5883.0,4953.0,893.0,140.0,0.05
BA,5,pagerank,0.1,16.0,31.0,1.0,1.0,388.0,0.753,15498.0,0.818,5065.0,4247.0,748.0,148.0,0.1
BA,5,random,0.01,3.0,6.0,1.0,1.0,738.0,0.984,19592.0,0.985,7029.0,6044.0,979.0,150.0,0.01
BA,5,random,0.05,5.0,8.0,1.0,1.0,684.0,0.941,19198.0,0.945,7096.0,6151.0,936.0,158.0,0.05
BA,5,random,0.1,5.0,8.0,1.0,1.0,633.0,0.889,17462.0,0.895,6261.0,5366.0,884.0,155.0,0.1
BA,6,betweenness,0.01,5.0,9.0,1.0,1.0,700.0,0.985,19072.0,0.985,7170.0,6185.0,980.0,157.0,0.01
BA,6,betweenness,0.05,8.0,15.0,1.0,1.0,559.0,0.91,19175.0,0.937,6372.0,5435.0,905.0,164.0,0.05
BA,6,betweenness,0.1,12.0,23.0,1.0,1.0,407.0,0.784,15901.0,0.859,5254.0,4395.0,779.0,150.0,0.1
BA,6,collective_influence,0.01,7.0,11.0,1.0,1.0,704.0,0.984,20193.0,0.984,6752.0,5768.0,979.0,188.0,0.01
BA,6,collective_influence,0.05,8.0,15.0,1.0,1.0,557.0,0.894,17045.0,0.931,5871.0,4940.0,889.0,187.0,0.05
BA,6,collective_influence,0.1,16.0,29.0,1.0,1.0,378.0,0.741,14401.0,0.819,5006.0,4187.0,736.0,144.0,0.1
BA,6,community_bridge,0.01,5.0,8.0,1.0,1.0,678.0,0.969,20162.0,0.984,7066.0,6082.0,964.0,154.0,0.01
BA,6,community_bridge,0.05,10.0,17.0,1.0,1.0,487.0,0.896,17023.0,0.933,6529.0,5596.0,891.0,134.0,0.05
BA,6,community_bridge,0.1,21.0,34.0,1.0,1.0,393.0,0.762,16533.0,0.82,5392.0,4572.0,757.0,193.0,0.1
BA,6,degree,0.01,6.0,10.0,1.0,1.0,681.0,0.977,19919.0,0.983,7109.0,6126.0,972.0,128.0,0.01
BA,6,degree,0.05,9.0,16.0,1.0,1.0,547.0,0.9,18468.0,0.93,6211.0,5281.0,895.0,182.0,0.05
BA,6,degree,0.1,16.0,27.0,1.0,1.0,406.0,0.763,15387.0,0.814,4994.0,4180.0,758.0,168.0,0.1
BA,6,eigenvector,0.01,6.0,10.0,1.0,1.0,679.0,0.976,19062.0,0.984,6988.0,6004.0,971.0,183.0,0.01
BA,6,eigenvector,0.05,9.0,15.0,1.0,1.0,577.0,0.905,17906.0,0.94,6288.0,5348.0,900.0,136.0,0.05
BA,6,eigenvector,0.1,19.0,28.0,1.0,1.0,463.0,0.828,16334.0,0.872,5859.0,4987.0,823.0,184.0,0.1
BA,6,kcore,0.01,6.0,10.0,1.0,1.0,649.0,0.973,18889.0,0.984,7152.0,6168.0,968.0,177.0,0.01
BA,6,kcore,0.05,10.0,17.0,1.0,1.0,573.0,0.888,18517.0,0.93,6085.0,5155.0,883.0,160.0,0.05
BA,6,kcore,0.1,14.0,27.0,1.0,1.0,410.0,0.779,16832.0,0.825,5344.0,4519.0,774.0,148.0,0.1
BA,6,pagerank,0.01,5.0,10.0,1.0,1.0,708.0,0.982,18774.0,0.984,6758.0,5774.0,977.0,171.0,0.01
BA,6,pagerank,0.05,13.0,20.0,1.0,1.0,518.0,0.9,17630.0,0.936,6224.0,5288.0,895.0,183.0,0.05
BA,6,pagerank,0.1,16.0,31.0,1.0,1.0,374.0,0.754,14773.0,0.814,5212.0,4398.0,749.0,157.0,0.1
BA,6,random,0.01,4.0,7.0,1.0,1.0,736.0,0.984,19492.0,0.985,7314.0,6329.0,979.0,124.0,0.01
BA,6,random,0.05,5.0,8.0,1.0,1.0,696.0,0.945,19723.0,0.945,7472.0,6527.0,940.0,153.0,0.05
BA,6,random,0.1,4.0,8.0,1.0,1.0,623.0,0.888,18435.0,0.895,6390.0,5495.0,883.0,140.0,0.1
BA,7,betweenness,0.01,7.0,11.0,1.0,1.0,660.0,0.976,19618.0,0.985,7350.0,6365.0,971.0,153.0,0.01
BA,7,betweenness,0.05,9.0,15.0,1.0,1.0,543.0,0.89,17813.0,0.93,6599.0,5669.0,885.0,183.0,0.05
BA,7,betweenness,0.1,14.0,26.0,1.0,1.0,392.0,0.758,14591.0,0.822,5188.0,4366.0,753.0,128.0,0.1
BA,7,collective_influence,0.01,5.0,9.0,1.0,1.0,692.0,0.974,18589.0,0.985,7085.0,6100.0,969.0,192.0,0.01
BA,7,collective_influence,0.05,7.0,14.0,1.0,1.0,533.0,0.896,17487.0,0.926,6080.0,5154.0,891.0,142.0,0.05
BA,7,collective_influence,0.1,11.0,24.0,1.0,1.0,360.0,0.747,13736.0,0.812,5077.0,4265.0,742.0,129.0,0.1
BA,7,community_bridge,0.01,6.0,10.0,1.0,1.0,656.0,0.969,19313.0,0.985,7030.0,6045.0,964.0,196.0,0.01
BA,7,community_bridge,0.05,9.0,16.0,1.0,1.0,533.0,0.886,16951.0,0.924,6102.0,5178.0,881.0,162.0,0.05
BA,7,community_bridge,0.1,11.0,24.0,1.0,1.0,399.0,0.763,15831.0,0.82,5190.0,4370.0,758.0,162.0,0.1
BA,7,degree,0.01,6.0,10.0,1.0,1.0,674.0,0.975,20292.0,0.985,7290.0,6305.0,970.0,126.0,0.01
BA,7,degree,0.05,9.0,17.0,1.0,1.0,552.0,0.896,17685.0,0.923,6191.0,5268.0,891.0,144.0,0.05
BA,7,degree,0.1,12.0,25.0,1.0,1.0,380.0,0.748,15231.0,0.81,4939.0,4129.0,743.0,159.0,0.1
BA,7,eigenvector,0.01,6.0,9.0,1.0,1.0,687.0,0.974,19351.0,0.984,7006.0,6022.0,969.0,170.0,0.01
BA,7,eigenvector,0.05,9.0,15.0,1.0,1.0,587.0,0.909,18306.0,0.932,6126.0,5194.0,904.0,130.0,0.05
BA,7,eigenvector,0.1,13.0,21.0,1.0,1.0,496.0,0.83,17129.0,0.869,6064.0,5195.0,825.0,144.0,0.1
BA,7,kcore,0.01,6.0,11.0,1.0,1.0,682.0,0.975,19476.0,0.985,7133.0,6148.0,970.0,166.0,0.01
BA,7,kcore,0.05,9.0,17.0,1.0,1.0,546.0,0.887,17989.0,0.927,6185.0,5258.0,882.0,125.0,0.05
BA,7,kcore,0.1,16.0,31.0,1.0,1.0,370.0,0.744,15145.0,0.81,5267.0,4457.0,739.0,209.0,0.1
