topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,3,homogeneous,0.05,random,6.0,10.0,1.0,1.0,689.0,0.939,19063.0,0.942,6848.0,5906.0,934.0,139.0,0.05
ER,3,homogeneous,0.05,degree,6.0,12.0,1.0,1.0,645.0,0.945,18441.0,0.944,6932.0,5988.0,940.0,151.0,0.05
ER,3,homogeneous,0.05,betweenness,6.0,10.0,1.0,1.0,686.0,0.94,18959.0,0.942,6570.0,5628.0,935.0,178.0,0.05
ER,3,homogeneous,0.05,kcore,6.0,12.0,1.0,1.0,678.0,0.936,19353.0,0.944,7015.0,6071.0,931.0,210.0,0.05
ER,3,homogeneous,0.05,collective_influence,6.0,11.0,1.0,1.0,647.0,0.943,19919.0,0.943,7050.0,6107.0,938.0,163.0,0.05
ER,3,homogeneous,0.05,community_bridge,9.0,14.0,1.0,1.0,649.0,0.941,18748.0,0.944,6832.0,5888.0,936.0,238.0,0.05
ER,3,moderate,0.05,random,6.0,10.0,1.0,1.0,696.0,0.932,18601.0,0.942,6920.0,5978.0,927.0,171.0,0.05
ER,3,moderate,0.05,degree,7.0,12.0,1.0,1.0,679.0,0.935,19328.0,0.944,7554.0,6610.0,930.0,171.0,0.05
ER,3,moderate,0.05,betweenness,7.0,12.0,1.0,1.0,671.0,0.938,18983.0,0.942,7485.0,6543.0,933.0,157.0,0.05
ER,3,moderate,0.05,kcore,7.0,12.0,1.0,1.0,616.0,0.928,18817.0,0.944,7160.0,6216.0,923.0,188.0,0.05
ER,3,moderate,0.05,collective_influence,7.0,12.0,1.0,1.0,642.0,0.939,17944.0,0.944,7441.0,6497.0,934.0,152.0,0.05
ER,3,moderate,0.05,community_bridge,6.0,11.0,1.0,1.0,652.0,0.935,19371.0,0.943,7095.0,6152.0,930.0,149.0,0.05
ER,3,strong,0.05,random,6.0,11.0,1.0,1.0,643.0,0.936,18785.0,0.942,8636.0,7694.0,931.0,131.0,0.05
ER,3,strong,0.05,degree,8.0,15.0,1.0,1.0,601.0,0.918,17722.0,0.943,8977.0,8034.0,913.0,151.0,0.05
ER,3,strong,0.05,betweenness,7.0,12.0,1.0,1.0,611.0,0.919,17703.0,0.942,8974.0,8032.0,914.0,137.0,0.05
ER,3,strong,0.05,kcore,7.0,13.0,1.0,1.0,617.0,0.929,18991.0,0.944,8769.0,7825.0,924.0,146.0,0.05
ER,3,strong,0.05,collective_influence,9.0,15.0,1.0,1.0,615.0,0.93,19119.0,0.944,8833.0,7889.0,925.0,119.0,0.05
ER,3,strong,0.05,community_bridge,8.0,13.0,1.0,1.0,587.0,0.917,17958.0,0.943,8842.0,7899.0,912.0,152.0,0.05
ER,3,degree_correlated,0.05,random,10.0,14.0,1.0,1.0,707.0,0.939,18181.0,0.942,6230.0,5288.0,934.0,162.0,0.05
ER,3,degree_correlated,0.05,degree,6.0,11.0,1.0,1.0,677.0,0.943,18043.0,0.944,6436.0,5492.0,938.0,161.0,0.05
ER,3,degree_correlated,0.05,betweenness,6.0,10.0,1.0,1.0,708.0,0.938,19742.0,0.942,6111.0,5169.0,933.0,134.0,0.05
ER,3,degree_correlated,0.05,kcore,6.0,10.0,1.0,1.0,664.0,0.933,18008.0,0.944,6210.0,5266.0,928.0,155.0,0.05
ER,3,degree_correlated,0.05,collective_influence,7.0,11.0,1.0,1.0,692.0,0.942,19307.0,0.943,6164.0,5221.0,937.0,177.0,0.05
ER,3,degree_correlated,0.05,community_bridge,7.0,11.0,1.0,1.0,665.0,0.934,18537.0,0.944,6561.0,5617.0,929.0,180.0,0.05
ER,4,homogeneous,0.05,random,7.0,11.0,1.0,1.0,666.0,0.929,19269.0,0.942,7003.0,6061.0,924.0,142.0,0.05
ER,4,homogeneous,0.05,degree,6.0,11.0,1.0,1.0,638.0,0.927,18363.0,0.941,6663.0,5722.0,922.0,138.0,0.05
ER,4,homogeneous,0.05,betweenness,7.0,13.0,1.0,1.0,625.0,0.932,18395.0,0.941,7059.0,6118.0,927.0,172.0,0.05
ER,4,homogeneous,0.05,kcore,6.0,12.0,1.0,1.0,631.0,0.931,18867.0,0.942,6983.0,6041.0,926.0,191.0,0.05
ER,4,homogeneous,0.05,collective_influence,6.0,11.0,1.0,1.0,630.0,0.941,17717.0,0.942,6827.0,5885.0,936.0,167.0,0.05
