topology,metric,strategy,mean_difference,percent_difference,t,p,cohen_dz,wilcoxon_W,wilcoxon_p,holm_p,holm_wilcoxon_p
WS,final_size,degree,-0.0025099999999999944,-0.26442206396696255,-4.816113632427674,5.271135680494324e-06,-0.48161136324276743,501.5,1.9208917581255372e-07,3.162681408296595e-05,1.1525350548753224e-06
WS,final_size,eigenvector,-0.0012900000000000001,-0.13589819223800095,-4.678731101623157,9.161111751088163e-06,-0.4678731101623158,662.5,8.538304328514683e-06,4.5805558755440814e-05,4.269152164257342e-05
WS,final_size,kcore,-0.0030299999999999928,-0.3192027306055364,-5.729355966369664,1.0883090252293616e-07,-0.5729355966369665,509.5,5.370507006186739e-08,7.618163176605532e-07,3.7593549043307176e-07
WS,final_size,pagerank,-0.0009000000000000008,-0.09481269225907052,-4.198115746876904,5.8851800834646206e-05,-0.41981157468769037,514.0,2.4797665408943355e-05,0.00023540720333858483,9.919066163577342e-05
WS,unique_exposed_fraction,betweenness,-0.00026999999999999914,-0.028571730917787398,-1.992929552713858,0.0490216274466642,-0.19929295527138577,4.0,0.012864308543025662,0.0980432548933284,0.03614600147105788
WS,unique_exposed_fraction,collective_influence,-9.000000000000007e-05,-0.009523910305929171,-1.5783365670010077,0.11767836724980152,-0.15783365670010074,2.5,0.08446903225325182,0.11767836724980152,0.08446903225325182
WS,unique_exposed_fraction,community_bridge,-0.00024000000000000022,-0.02539709414914446,-2.6996932341068316,0.008163165569353368,-0.2699693234106832,3.0,0.0070009419894486325,0.03265266227741347,0.02800376795779453
WS,unique_exposed_fraction,degree,-0.0014099999999999924,-0.14920792812622274,-3.681501561749644,0.00037773627667249155,-0.3681501561749644,0.0,8.70783521016157e-05,0.0018886813833624578,0.0004353917605080785
WS,unique_exposed_fraction,eigenvector,-0.0010499999999999997,-0.11111228690250687,-5.744562646538041,1.0174517823554513e-07,-0.5744562646538042,0.0,5.590848303396556e-10,7.122162476488159e-07,3.913593812377589e-09
WS,unique_exposed_fraction,kcore,-0.0016499999999999926,-0.1746050222753672,-4.6018238294674445,1.24341324707915e-05,-0.4601823829467445,3.0,1.49237152351625e-06,7.460479482474899e-05,8.9542291410975e-06
WS,unique_exposed_fraction,pagerank,-0.00015000000000000012,-0.015873183843215285,-2.3380029231614867,0.021399017525907393,-0.23380029231614866,3.5,0.012048667157019292,0.06419705257772218,0.03614600147105788
WS,attempted_exposures,betweenness,17.62,0.2520257174937601,0.6866290390638298,0.4939216694516743,0.06866290390638298,2406.0,0.6824199903219347,1.0,1.0
WS,attempted_exposures,collective_influence,12.73,0.18208214436410708,0.5705069844884396,0.5696265030975398,0.057050698448843966,2257.5,0.357696743054733,1.0,1.0
WS,attempted_exposures,community_bridge,6.1,0.08725067404721548,0.20894590970478552,0.8349197869833567,0.020894590970478553,2482.5,0.8838189395980947,1.0,1.0
WS,attempted_exposures,degree,-19.26,-0.2754832757621919,-0.7661677551377826,0.44539948386759365,-0.07661677551377827,2246.5,0.42513553153690464,1.0,1.0
WS,attempted_exposures,eigenvector,52.73,0.7542177118868315,2.0430350377236937,0.043706257039769186,0.20430350377236936,1934.0,0.04214753229542307,0.30594379927838433,0.2950327260679615
WS,attempted_exposures,kcore,-20.2,-0.28892846159897584,-0.8081161158536079,0.4209613305275616,-0.08081161158536079,2282.5,0.40439095390883584,1.0,1.0
WS,attempted_exposures,pagerank,-16.45,-0.23529075214372044,-0.5946025301129464,0.5534657014357972,-0.05946025301129463,2300.5,0.4401679527734764,1.0,1.0
WS,peak_infected,betweenness,-37.92,-6.4755204153076384,-10.000258294394486,1.0925573539470073e-16,-1.0000258294394486,359.5,9.602808733221117e-14,2.1851147078940145e-16,1.9205617466442234e-13
WS,peak_infected,collective_influence,-46.6,-7.957786164381222,-13.805521426279098,8.262976168856563e-25,-1.3805521426279097,96.5,6.805487273638545e-17,4.131488084428282e-24,4.083292364183127e-16
WS,peak_infected,community_bridge,-40.92,-6.987824245632609,-11.295520755258167,1.675340590478945e-19,-1.1295520755258168,291.5,1.5941569591941238e-14,5.026021771436834e-19,4.782470877582371e-14
WS,peak_infected,degree,-45.97,-7.850202360012978,-14.830754109130954,6.782622105210325e-27,-1.4830754109130955,114.0,1.1313453247437792e-16,4.747835473647228e-26,5.656726623718896e-16
WS,peak_infected,eigenvector,-2.84,-0.48498095937430624,-0.9112266774193267,0.3643893943291976,-0.09112266774193269,2224.0,0.38092122275190765,0.3643893943291976,0.38092122275190765
WS,peak_infected,kcore,-44.21,-7.5496507795556616,-13.8550014367097,6.535242978142588e-25,-1.38550014367097,68.5,2.995548551155282e-17,3.921145786885553e-24,2.0968839858086973e-16
WS,peak_infected,pagerank,-39.77,-6.791441110674705,-11.830982564526066,1.1801550289374373e-20,-1.1830982564526065,243.5,6.758772406268551e-15,4.720620115749749e-20,2.7035089625074204e-14
