behavior,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
moderate,BA,betweenness,8.85,1.598519051464429,16.05,1.7312909694943335,1.0,0.0,0.88935,0.01057939904770241,17566.35,792.3336800403706,0.93035,0.004987088592714063,6729.0,288.88387759936023
moderate,BA,collective_influence,10.05,2.1636956688426454,18.0,2.2242680641174153,1.0,0.0,0.88055,0.012779403659589786,17594.1,817.5013214217538,0.9252,0.005708719093125057,6769.0,228.49599789193596
moderate,BA,community_bridge,10.6,2.326053807586891,18.85,2.739093203771527,1.0,0.0,0.8836,0.010664254113132996,17795.25,638.8272870123653,0.9263,0.005192099261073692,6735.5,292.6117420387423
moderate,BA,degree,10.75,2.3367769075779297,19.0,2.6357861106418765,1.0,0.0,0.8785999999999999,0.013926120856335539,17528.45,797.7819564266917,0.9247500000000001,0.005820788515945952,6664.65,267.14815030339696
moderate,BA,kcore,9.5,1.7013926184468018,17.75,2.0994986870303363,1.0,0.0,0.8785999999999999,0.010399392694818935,17467.35,695.9100270792725,0.9244,0.0059240810968541925,6670.15,226.4848722727879
moderate,BA,random,4.9,0.9679060415469871,8.4,0.9947229183096803,1.0,0.0,0.9378499999999999,0.005039580183016461,19019.65,618.335309733447,0.94485,0.0003663475485325538,7411.9,206.16904152711805
moderate,ER,betweenness,6.8,0.7677718959499144,11.65,0.8127277008872492,1.0,0.0,0.9314500000000001,0.004936171540139621,18659.7,466.88509800254064,0.9384499999999999,0.002394621165511504,7251.1,216.7001080805113
moderate,ER,collective_influence,7.5,1.1470786693528088,12.65,1.4244112357114616,1.0,0.0,0.93415,0.003731445324606292,18689.75,510.1334061843658,0.94055,0.00213923252347044,7166.75,253.178504741532
moderate,ER,community_bridge,6.7,1.0809352675491624,11.75,1.2513150976809204,1.0,0.0,0.9308,0.005011565571124881,18586.55,707.5139184050317,0.94055,0.0020384462607325564,7148.8,182.98104589791464
moderate,ER,degree,7.25,0.9665456669582609,12.3,1.1742858972247996,1.0,0.0,0.93125,0.004540751155109862,18609.4,770.4564880640563,0.93995,0.0021144863753589896,7188.4,189.64076843503784
