beta,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.05,ER,community_bridge,19.35,3.8970299081817634,35.9,4.993680216560044,1.0,0.0,0.87335,0.01101804739602497,17489.45,753.8109825204335,0.9391999999999999,0.0029486839169543125,17503.0,495.2077713870267
0.05,ER,degree,22.5,5.355764233637977,39.95,7.119099588246286,1.0,0.0,0.8651500000000001,0.012465848082703939,17249.35,693.3913814684586,0.9369500000000001,0.0030170567742333126,17611.15,596.6657598248535
0.05,ER,kcore,20.9,4.22897275071805,38.4,5.344943503221674,1.0,0.0,0.8689,0.013174536843951356,17440.15,750.2190750216337,0.93775,0.0024251966822029587,17706.0,559.9368385433261
0.05,ER,random,17.15,2.9068883707497273,30.7,3.357630743623592,1.0,0.0,0.8920999999999999,0.007461480028153031,17993.8,654.5756841770012,0.9407499999999999,0.0022448772091609955,18107.95,488.58964323211364
0.05,WS,betweenness,29.1,5.919637257734455,74.65,12.695938015966489,1.0,0.0,0.8747,0.02829003916203503,17541.45,1040.8415357928309,0.9277000000000001,0.01428690972441851,17830.95,646.1596246488291
0.05,WS,collective_influence,32.7,8.46105629837141,83.25,17.112245538456403,1.0,0.0,0.8621000000000001,0.02887158501109057,17372.8,765.3427577511297,0.9257500000000001,0.014874474780643552,17843.5,645.0344340053728
0.05,WS,community_bridge,32.6,5.752802520694177,80.95,12.832832070410973,1.0,0.0,0.86355,0.03225633352741099,17260.75,1038.9786419465283,0.9242000000000001,0.016523030179594465,17582.65,606.771896358529
0.05,WS,degree,30.4,8.400501238178089,75.25,15.579591914120419,1.0,0.0,0.8487,0.03553515679465977,16780.25,1176.5784414765426,0.9131,0.020710790475142737,17314.1,775.4221193375224
0.05,WS,kcore,35.65,11.961671243909372,81.45,16.349714306211492,1.0,0.0,0.8593500000000001,0.03285898899684433,17256.1,1183.46551325023,0.9167500000000001,0.01936049966732317,17675.7,837.3815140066084
0.05,WS,random,27.8,7.345603769387653,64.45,11.009445705249748,1.0,0.0,0.8906000000000001,0.01831134247284713,17607.85,614.1668961412608,0.93675,0.008129705115387468,18196.1,549.6568211644706
0.15,BA,betweenness,8.65,0.8127277008872489,15.25,1.019545822516343,1.0,0.0,0.9004,0.008475351258052292,18138.0,612.435259736424,0.9310500000000002,0.005052097011195059,6271.3,187.00326481810842
0.15,BA,collective_influence,8.9,1.55258697527368,16.35,1.814415956487898,1.0,0.0,0.89305,0.011057148199955982,17803.2,667.5747622235988,0.9272500000000001,0.00548562715313008,6213.0,148.8135534291501
0.15,BA,community_bridge,9.95,1.7312909694943337,17.95,1.9049796241485237,1.0,0.0,0.8907,0.009603179298106381,17967.35,626.7835414995646,0.9262,0.005987706704486048,6181.55,203.73989480914653
0.15,BA,degree,9.65,1.7252002172135512,17.15,1.9808291724745768,1.0,0.0,0.89205,0.008469605098605,17927.4,523.3382120679961,0.9257500000000001,0.006222835704927969,6149.95,148.73129249899307
0.15,BA,kcore,9.5,1.1470786693528088,17.0,1.2977713690461001,1.0,0.0,0.8894500000000001,0.008840546541809222,17813.25,767.8718283260835,0.92515,0.0054122181463017475,6135.05,247.11631077820735
0.15,BA,random,5.25,1.332784974957958,8.45,1.316894273021107,1.0,0.0,0.9410499999999999,0.0028372521918221937,18926.4,563.8244781004661,0.94485,0.0003663475485325538,6964.3,223.5423190831047
0.15,ER,betweenness,6.7,1.0809352675491624,11.55,1.050062654772261,1.0,0.0,0.93345,0.004160908301649579,18712.05,685.7730539901279,0.9388,0.0025464113034456147,6837.2,232.3542214174865
0.15,ER,collective_influence,6.9,1.0208355710680808,11.75,1.2085223687584243,1.0,0.0,0.9355,0.003720497985909618,18501.85,487.2610102452925,0.94065,0.0023680993933621443,6773.65,226.29772541127278
0.15,ER,community_bridge,6.9,1.020835571068081,11.9,0.9119095061289914,1.0,0.0,0.9339000000000001,0.004632834757978811,18539.05,438.57814223021364,0.94065,0.0021095023109728556,6861.95,167.58673323952203
0.15,ER,degree,6.95,0.8255779474818965,11.95,0.8255779474818963,1.0,0.0,0.93435,0.003990449123911512,18622.15,603.9419870187965,0.9403,0.002364206776957196,6750.8,174.4916224802482
0.15,ER,kcore,6.7,0.8645047258706176,11.65,1.0399898784932575,1.0,0.0,0.93455,0.00397988362696829,18657.5,506.01284568674714,0.94015,0.0020589982234597514,6821.7,172.70117178769254
0.15,ER,random,6.1,0.7181848464596078,10.3,0.8013147091860319,1.0,0.0,0.9369,0.003307089672999947,18629.7,707.1104358026774,0.9416,0.001902906364375018,6973.8,192.742424248693
0.15,WS,betweenness,8.55,1.050062654772261,18.6,1.1876558069531227,1.0,0.0,0.9494999999999999,0.0010000000000000054,19038.25,430.18464517851965,0.9449499999999998,0.00022360679774998017,7074.55,190.50306669723886
0.15,WS,collective_influence,9.85,1.3088765773505313,20.85,2.0332758116683993,1.0,0.0,0.9493,0.000923380516876643,18939.75,478.59123037251044,0.945,0.0,7002.1,183.4490894527761
0.15,WS,community_bridge,9.45,1.5719582155957414,19.7,2.2501461940809184,1.0,0.0,0.9484499999999999,0.001791059668699534,19113.55,621.6531843230176,0.94475,0.0007863975156571013,6916.25,184.1192048075034
0.15,WS,degree,9.4,0.9947229183096797,19.55,1.4680814547887788,1.0,0.0,0.94675,0.004339233500103549,19229.65,618.41769864712,0.94345,0.0026252819397462376,7010.7,175.42342758984174
